,created_at,id,full_text,gpe,latitude,longitude
441,Thu Jun 23 12:56:35 +0000 2022,1539955576809132032,this is  area of   as per sources on the ground 150 civilians lost their lives and aro _locincl_,Bermal district,32.71433,69.275053
442,Thu Jun 23 13:19:06 +0000 2022,1539961243418742789,today unhcr rushed initial shelter supplies from  into the earthquake affected areas of  in   _locincl_,Bermal,32.71433,69.275053
443,Wed Jun 22 17:09:09 +0000 2022,1539656750009225221,últimahora al menos 255 personas murieron y otras 155 resultaron heridas en los distritos de    _locincl_,Ziruk,33.155823,69.326833
444,Wed Jun 22 17:45:48 +0000 2022,1539665975091404800,search and rescue missions continuing after the earthquake in  and  districts of   http _locincl_,Barmal,32.71433,69.275053
445,Wed Jun 22 17:45:48 +0000 2022,1539665975091404800,search and rescue missions continuing after the earthquake in  and  districts of   http _locincl_,Barmal,32.71433,69.275053
446,Wed Jun 22 16:46:43 +0000 2022,1539651104794849283,breaking at least 1000 people were killed and 1500 others where injured in an earthquake only in  and  dist _locincl_,Barmal,32.71433,69.275053
447,Wed Jun 22 17:36:56 +0000 2022,1539663744586096640,search and rescue missions continuing after the earthquake in  and  districts of   http _locincl_,Barmal,32.71433,69.275053
448,Wed Jun 22 17:36:56 +0000 2022,1539663744586096640,search and rescue missions continuing after the earthquake in  and  districts of   http _locincl_,Barmal,32.71433,69.275053
449,Wed Jun 22 17:11:24 +0000 2022,1539657317003583488,search and rescue missions continuing after the earthquake in  and  districts of   http _locincl_,Barmal,32.71433,69.275053
450,Wed Jun 22 17:11:24 +0000 2022,1539657317003583488,search and rescue missions continuing after the earthquake in  and  districts of   http _locincl_,Barmal,32.71433,69.275053
451,Wed Jun 22 16:30:02 +0000 2022,1539646906099531778,خاکسپاری دسته جمعی جان باختگان زلزله مرگبار  در شهرستان  افغانستان_تسلیت   _urlincl_ _locincl_,گیان ولایت پکتیکا,32.975159,69.399302
452,Wed Jun 22 18:27:44 +0000 2022,1539676526622425088,search and rescue missions continuing after the earthquake in  and  districts of   http _locincl_,Barmal,32.71433,69.275053
453,Wed Jun 22 18:27:44 +0000 2022,1539676526622425088,search and rescue missions continuing after the earthquake in  and  districts of   http _locincl_,Barmal,32.71433,69.275053
454,Wed Jun 22 20:08:42 +0000 2022,1539701935686688770,every house you went to there was eight or nine bodies of people killed in the earthquake in  district of  pr _locincl_,Barmal,32.71433,69.275053
455,Wed Jun 22 18:25:58 +0000 2022,1539676083171123200,search and rescue missions continuing after the earthquake in  and  districts of   http _locincl_,Barmal,32.71433,69.275053
456,Wed Jun 22 18:25:58 +0000 2022,1539676083171123200,search and rescue missions continuing after the earthquake in  and  districts of   http _locincl_,Barmal,32.71433,69.275053
457,Wed Jun 22 20:57:10 +0000 2022,1539714131976241153,it’s  ambulances in   are parked outside on the main street waiting to head to  to transfer   _urlincl_ _locincl_,Gardez,33.5877097,69.2685645
458,Wed Jun 22 18:43:21 +0000 2022,1539680458169937920,update 17 members of a family were killed in last nights earthquake in  in  district of the pr _locincl_,Barmal,32.71433,69.275053
459,Wed Jun 22 18:45:34 +0000 2022,1539681013655298049,every house you went to there was eight or nine bodies of people killed in the earthquake in  district of  pr _locincl_,Barmal,32.71433,69.275053
460,Wed Jun 22 18:51:31 +0000 2022,1539682512644894720,every house you went to there was eight or nine bodies of people killed in the earthquake in  district of  pr _locincl_,Barmal,32.71433,69.275053
461,Wed Jun 22 19:10:58 +0000 2022,1539687405212532736,hundreds of people have been buried and hundreds of homes destroyed in a quake in  and  districts of  p _locincl_,Barmal,32.71433,69.275053
462,Wed Jun 22 19:10:58 +0000 2022,1539687405212532736,hundreds of people have been buried and hundreds of homes destroyed in a quake in  and  districts of  p _locincl_,Barmal,32.71433,69.275053
463,Wed Jun 22 19:14:55 +0000 2022,1539688399375925251,خاکسپاری دسته جمعی جان باختگان زلزله مرگبار  در شهرستان  افغانستان_تسلیت   _urlincl_ _locincl_,گیان ولایت پکتیکا,32.975159,69.399302
464,Wed Jun 22 19:23:37 +0000 2022,1539690592246136833,در هر خانهی که داخل میروی ۸ تا ۹ جسد بیجان کسانی بود که به اثر شدت زلزله شب گذشته در ولسوالی برمل ولایت   _urlincl_,برمل ولایت,32.71433,69.275053
465,Wed Jun 22 19:24:29 +0000 2022,1539690808512839682,every house you went to there was eight or nine bodies of people killed in the earthquake in  district of  pr _locincl_,Barmal,32.71433,69.275053
466,Thu Jun 23 13:47:28 +0000 2022,1539968384149794816,this is a small village of  area of   150 civilians have lost their lives and appro _locincl_,Bermal district,32.71433,69.275053
467,Thu Jun 23 14:01:54 +0000 2022,1539972016974884866,acnur ha enviado hoy desde  ayuda humanitaria a zonas afectadas por el terremoto en el distrito de  e _locincl_,Spera,33.15664,69.491204
468,Wed Jun 22 16:29:57 +0000 2022,1539646886797316096,search and rescue missions continuing after the earthquake in  and  districts of   http _locincl_,Barmal,32.71433,69.275053
